state,label,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
neutral,powerByBand,27.878452872273886,1.343235952647775,29.64957097202841,1.7618707555085182,13.70036392386475,10.776771512317614,1.7100413812685658,1.1894130443303397,7.052816825973356,1.2656845459889663,7.6875175610665725,1.85394500945791,4.589363544566432,5.361115286820391,1.4310353405990244,1.2717817342528257,46.356994817918974,6.441674212665348,46.78742821783209,0.9220860670867908,7.979370483015498,20.750178091823592,3.0468866670489287,1.1231584409648008,1.0714670207891164,0.2756663797620521,1.1086024795711913,0.2047046924768276,1.1023923962410265,1.021189073838199,0.2918026092354521,0.2450764616561525,48.58318096140288,5.460726736621036,32.397776445107496,1.0630646831816013,9.578764027856453,20.229410658176075,1.9875011726517984,1.8194497725674004
neutral,powerByBand,19.60895947111585,5.130072814241094,10.880213903276871,2.7373531495280083,6.082945766657346,5.972629126850173,1.377525728330008,2.347851620186828,3.806293923124529,2.3971340340870597,3.9775364745557287,1.6118411540693844,6.126138526809596,2.9064901983668903,1.0435344927219796,1.2537674167960022,41.50908113400092,2.447776639215969,29.919580091159677,1.5236683748097992,12.42718321183469,21.953015230497652,0.947795800795044,3.651173184701644,1.8782393849593408,0.3111364481920491,1.1202224264432463,0.2188957236808879,1.267547726299944,1.189467900744417,0.2556467955178777,0.2141459523910598,28.86651587553833,5.476059422229356,27.82729000184105,2.438290107405858,14.38322183247519,16.085972705256005,1.4065914184653638,4.373357722842385
neutral,powerByBand,28.563250966020597,3.1117696971842954,28.133244282960728,2.376957666454174,1.841570756233805,12.559124221896704,0.7375860462714394,0.9515543973322086,6.402999923524043,2.786113661710638,5.7821159807718026,1.4653013016716858,4.575404083601872,4.701181436848919,0.5264771356457884,0.8674141277555816,26.464730950463625,6.943140624695138,8.951277228712316,0.8688175533573874,13.070059678771369,7.231242056864565,1.1344336140262636,2.701018629604697,1.901760690873321,0.2681882808427583,0.618252206517982,0.3125339285616735,0.5785860802652546,1.2753560279452612,0.1714158669871848,0.2069442422056445,27.883842509542227,8.02925653894225,10.394931222076131,2.0709590960829645,11.686627961812196,17.597375814665632,0.9298035768787084,1.982738344849807
neutral,powerByBand,24.39874196766391,1.8940881660053204,28.342327465722807,3.619572502139483,11.4920292307201,12.323498508841071,3.4631204046259563,3.527179705269475,5.5990643053435445,1.0003115754641183,9.731211534399195,1.8442117071968704,4.7277177410104265,4.467933791380808,1.276077862156765,1.5885832585904718,22.61279198596066,1.6795647548146728,38.152819073389765,2.747126055987726,5.361303895614849,16.714666030903732,1.1766984197854375,2.553326848892211,1.0673462809192014,0.2320514122335222,2.031950432055228,0.3869959726854441,0.6116808137295372,0.7234351351530575,0.1952765588712436,0.2110962812741901,33.5941336188607,2.421294001017219,27.008356267628148,3.39106018995031,8.643774750940274,19.004299981635025,1.3974699500761978,1.7743537242337912
neutral,powerByBand,21.80041926036031,2.596291724213416,24.94803396030916,3.168502785087054,5.515509563580991,8.48152422748972,3.467250290792242,4.279955189737834,6.694212753465723,1.9923799704024423,6.465896992740388,2.056813764908811,5.94278667003146,4.555814291930307,1.515140455660552,1.6907463582656783,48.38789118751943,2.4078375306420376,51.29363362599796,2.6584466472804382,12.206452327866852,60.823478820923135,2.760757625996659,3.13548512679018,1.8007201382251448,0.2254493895591,2.1561778225583432,0.2280827130453016,0.9515365863027396,0.880232217561745,0.2043377607684683,0.2547900552844973,42.15847713424917,2.515014377511394,76.7914804416026,2.591635549890542,15.408173040205764,50.52311877293127,4.2008501808417815,6.334520124079933
neutral,powerByBand,18.668154092582565,4.854673834586249,14.277236497521736,2.3680207339461554,12.16636592755821,4.314756275063893,3.8816022117783984,3.0850503884870384,3.353196109931016,1.5681404313588785,3.862855580632795,0.6435281343010884,3.892449603511814,2.002263763220298,1.3563916522534685,1.2272905888025016,40.88752789713725,2.4749978982941427,40.7679713561748,2.5787973225385694,9.529787583045104,34.082733782651594,2.643376907774014,10.080348488398734,1.7509322305799453,0.2606327597505233,0.9216659729738964,0.1793032029473149,0.8577022571408626,0.8288081776250915,0.1836082022604187,0.2003996031780312,53.78679488389233,5.603982322411481,49.82152247511763,3.7428534965381104,15.116357559064,23.08511897836371,2.897662111959317,7.01689042519949
neutral,powerByBand,11.13060064841031,3.789863534003599,7.786385266257112,2.5077659422946907,7.06207324194786,5.386916204374347,1.4796502272061138,0.5584972255105973,3.0802370989496044,1.0960820044301325,3.2676610618623334,1.114372197640373,1.8159603083228903,2.028067352856361,0.6955573774980076,1.0702600154027346,36.80625986076174,5.691796730015315,24.4239095452196,2.9836668321044253,6.800123361801692,21.014025758086248,0.6629870450537687,2.268393253391884,0.5498421359266072,0.179060466803536,0.7996734767737341,0.1426184140588367,0.3455022964886345,0.4620908457953481,0.157139294719103,0.126143227304168,29.3366021106665,6.7673099579482106,9.741995649238824,3.3065089336410045,6.790145592161883,11.7987469448374,0.9297027459087664,2.2485669237832147
neutral,powerByBand,12.901117888771036,1.6731502463915924,6.169302583564151,1.645401229299938,5.586546378055846,7.14482868659118,0.6994446540435121,1.5557709738851846,7.309816173850414,1.1257262182199197,3.8633294221914007,0.882907373261149,4.382460574929784,4.21153042286266,1.0517891407053723,0.9496495395006784,29.50468284669389,5.726814870193621,17.339529987468183,2.015283688081251,3.320215482704494,27.252918813486183,3.331952959342555,3.3991204403862607,1.1470583058630714,0.1743802698699307,0.7209952748183686,0.1165018018834305,0.8192610947316051,0.4029983275918014,0.1484026832687085,0.1782794649721845,24.800774950129338,4.054980663136411,16.73247192966018,1.6201821050092755,4.03216821358861,18.219418113297834,2.551497835664395,2.623704179473692
neutral,powerByBand,25.856176987745037,1.9396783372622932,32.312332325636014,1.2976983113376592,4.550878797965756,14.00253276581192,2.165808850745744,1.7599522449750544,5.282265974271981,1.9499772074403088,11.183547592795133,1.327150299613831,3.784502468515415,3.5832618230779167,1.1481727583840322,1.6067173963700732,13.778920994460249,3.220684890682129,13.169010280465727,2.273822296425484,14.040684244939923,9.108581026118095,4.071693827457935,4.119179827106724,1.1910077711021725,0.3126167873880479,1.279263411092731,0.3315423867657362,1.0326978319228024,1.1624708627914493,0.3467728490642272,0.4000479592095732,18.61454993558087,2.187955855578028,18.12712239377481,1.7421436899407308,10.360189818195831,12.936432842508792,3.1506579405914064,3.843242774968103
neutral,powerByBand,8.467961915799409,2.848191811183621,19.332033024938777,1.8031639330218,3.933468793048061,5.815355632276553,2.73915030863658,2.067553238507712,3.963347231085381,1.926581579873456,6.375766538830252,1.8357026030313008,6.991888047178235,4.6146274004445775,1.0256748245855587,1.5144618811055857,15.848073509872403,2.5286578095980765,49.03808798553013,1.9323240797362655,4.943501184103671,13.81205122234287,1.429712906519618,4.776450966135089,0.5982188997269776,0.3139055113505026,1.4544167135947108,0.3524961157041283,0.621332110645691,1.1650378798470888,0.3361798728643416,0.4094341656693625,20.33788522999838,1.425229241754194,23.26913982340484,1.6952260846413043,3.706586596649708,18.257947434998982,2.282717514476758,3.73857232876288
